Country Name,Series Name,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,Inc50Years,%In50Years
Early-demographic dividend,"Population, total",980085256,1247114277,1590290482,2029207305,2472913805,2908287643,3332556000,3723228000,4039368000,4273451000,2085441723,167.2213815
East Asia & Pacific,"Population, total",1040958103,1290384064,1559194619,1822193192,2047640119,2206884624,2351307000,2427639000,2442120000,2406917000,1060922936,82.2176099
East Asia & Pacific (excluding high income),"Population, total",894880101,1117169518,1360444852,1605197175,1816466142,1965964309,2104283000,2180890000,2199870000,2171682000,987113482,88.35843317
East Asia & Pacific (IDA & IBRD countries),"Population, total",883445573,1102743566,1342952245,1584871832,1793498351,1941377349,2078467000,2154202000,2172976000,2145084000,975723434,88.48144429
Ecuador,"Population, total",4543666,6069376,7989186,10230934,12681123,15011117,17643000,19819000,21762000,23316000,11573624,190.6888616
"Egypt, Arab Rep.","Population, total",26632894,34513850,43309063,56134475,68831561,82761235,102334000,120832000,140350000,159957000,67820150,196.5012596
El Salvador,"Population, total",2766324,3673068,4591134,5270079,5887936,6183875,6486000,6779000,6931000,6937000,2812932,76.58262793
Equatorial Guinea,"Population, total",255333,303982,249929,419188,606181,943639,1403000,1874000,2346000,2821000,1099018,361.5404859
Eritrea,"Population, total",1007590,1310945,1733416,2258653,2292416,3170435,..,..,..,..,#VALUE!,#VALUE!
Estonia,"Population, total",1211537,1360076,1477219,1569174,1396985,1331475,1313000,1265000,1209000,1157000,-47076,-3.461277164
Eswatini,"Population, total",336583,431253,587858,822420,1005435,1064837,1160000,1298000,1507000,1704000,728747,168.9836361
Ethiopia,"Population, total",22151278,28415077,35141712,47887865,66224804,87639964,114964000,144944000,175466000,205411000,86548923,304.5880291
Euro area,"Population, total",265203934,287338845,302184230,311262588,321310791,336151479,341989000,341856000,339138000,332704000,54650155,19.01941069
Europe & Central Asia,"Population, total",667253650,738123474,794002749,842570541,861993393,888627318,922779000,930610000,929494000,923662000,184655526,25.01688843
Europe & Central Asia (excluding high income),"Population, total",275147578,314539976,350139462,385427601,392301484,398783138,420757000,425934000,426893000,427239000,106217024,33.7690062
Europe & Central Asia (IDA & IBRD countries),"Population, total",308925209,351616528,390313394,428315751,435028415,441121359,462615000,466272000,464908000,462903000,110998472,31.56804734
European Union,"Population, total",409306076,441986158,464225439,477725565,488221138,504298777,513719000,513816000,509270000,500882000,71732842,16.22965803
Faroe Islands,"Population, total",34615,39009,43337,47274,46735,47814,49000,51000,53000,53000,9991,25.61203825
Fiji,"Population, total",393481,520562,635307,728573,811006,859818,896000,966000,1027000,1071000,375438,72.1216685
Finland,"Population, total",4429634,4606307,4779535,4986431,5176209,5363352,5548000,5656000,5676000,5701000,941693,20.44355706
Fragile and conflict affected situations,"Population, total",120335436,154125870,202506212,258210292,336293932,430002303,538961000,677019000,823088000,972956000,384835130,249.6888614
France,"Population, total",46621669,51957738,55161527,58235697,60912500,65027507,67443000,69509000,70937000,71882000,15485262,29.80357228
French Polynesia,"Population, total",78076,110495,153301,199905,240686,266455,281000,297000,308000,311000,170505,154.3101498
Gabon,"Population, total",500928,589314,726328,949488,1228360,1624140,2226000,2744000,3265000,3809000,1636686,277.7273236
"Gambia, The","Population, total",365047,464410,637246,955593,1317703,1793196,2417000,3171000,4008000,4882000,1952590,420.4452962
Georgia,"Population, total",3645600,4119900,4467700,4802000,4077131,3786695,3711000,3562000,3386000,3203000,-408900,-9.92499818
Germany,"Population, total",72814900,78169289,78288576,79433029,82211508,81776930,82678000,81520000,79591000,76474000,4508711,5.767880273
Ghana,"Population, total",6635230,8735495,11056116,14773277,19278856,24779619,31073000,37833000,44883000,52016000,22337505,255.709665
Gibraltar,"Population, total",23420,28606,30065,29147,31077,33585,34000,34000,34000,34000,5394,18.85618402
Greece,"Population, total",8331725,8792806,9642505,10196792,10805808,11121341,10665000,10355000,10016000,9536000,1872194,21.2923383
Greenland,"Population, total",32500,46400,50200,55600,56200,56905,..,..,..,..,#VALUE!,#VALUE!
Grenada,"Population, total",89932,94475,89032,96331,102833,106233,113000,116000,116000,116000,18525,19.608362
Guam,"Population, total",66742,83877,104133,130482,155329,159444,169000,181000,189000,193000,85123,101.4855085
Guatemala,"Population, total",4210747,5621792,7283459,9263813,11650743,14630417,17916000,21213000,24261000,26921000,12294208,218.6884182
Guinea,"Population, total",3494162,4154605,4871435,6352283,8240730,10192176,13133000,17021000,21365000,25972000,8978395,216.1070667
Guinea-Bissau,"Population, total",616136,704939,781677,975261,1201301,1522599,1968000,2461000,2996000,3557000,1263061,179.1730916
Guyana,"Population, total",571819,704934,780153,743309,746715,749436,787000,822000,835000,825000,82066,11.64165723
Haiti,"Population, total",3866159,4676230,5643173,7037917,8463806,9949322,11403000,12733000,13916000,14878000,6726770,143.8502811
Heavily indebted poor countries (HIPC),"Population, total",161734357,207714294,270668574,354047260,471680794,624219326,823482000,1058784000,1323216000,1604507000,615767706,296.4493652
High income,"Population, total",760193906,853011324,934008001,1004169206,1077839576,1157826206,1219876000,1257186000,1277054000,1285014000,366864676,43.00818356
Honduras,"Population, total",2038632,2716654,3678279,4955303,6574509,8317470,9905000,11449000,12780000,13831000,7188346,264.602927
"Hong Kong SAR, China","Population, total",3075605,3959000,5063100,5704500,6665000,7024200,7564000,8024000,8149000,8124000,3605000,91.05834807
Hungary,"Population, total",9983967,10337910,10711122,10373988,10210971,10000023,9695000,9292000,8789000,8326000,-642910,-6.218955282
Iceland,"Population, total",175574,204438,228138,254826,281205,318041,359000,381000,395000,404000,154562,75.60336141
India,"Population, total",450547679,555189792,698952844,873277798,1056575549,1234281170,1380004000,1503642000,1592692000,1639176000,824814208,148.5643684
Indonesia,"Population, total",87751068,114793178,147447836,181413402,211513823,241834215,273524000,299198000,318638000,330905000,158730822,138.2754836
"Iran, Islamic Rep.","Population, total",21906914,28513866,38650246,56366217,65623405,73762519,83993000,92664000,98594000,103098000,55479134,194.5689651
Iraq,"Population, total",7289760,9917983,13653354,17419113,23497585,29741976,40222000,50194000,60584000,70940000,30304017,305.546168
Ireland,"Population, total",2828600,2957250,3412800,3513974,3805174,4560155,4933000,5255000,5558000,5825000,1975750,66.81038127
Isle of Man,"Population, total",48442,55425,63551,70298,76941,84857,85000,88000,90000,91000,29575,53.36039693
Israel,"Population, total",2114020,2974000,3878000,4660000,6289000,7623600,9152000,10471000,11799000,13160000,6178000,207.733692
Italy,"Population, total",50199700,53821850,56433883,56719240,56942108,59277417,60250000,59196000,57836000,55782000,6428150,11.94338359
Jamaica,"Population, total",1628520,1875642,2162846,2419906,2654701,2810460,2961000,3048000,3045000,2960000,1085358,57.8659467
Japan,"Population, total",92500572,104345000,116782000,123537000,126843000,128070000,125661000,120095000,113682000,107810000,21316000,20.4283866
Jordan,"Population, total",933102,1721323,2377995,3565890,5122493,7261539,10203000,10655000,11887000,12932000,8481677,492.7417457
Kazakhstan,"Population, total",9934563,13036139,14796174,16348000,14883626,16321872,18654000,20165000,21456000,22791000,5617861,43.09451595
Kenya,"Population, total",8120080,11301394,16417197,23724579,31964557,42030676,53771000,66450000,79470000,91575000,42469606,375.7908626
Kiribati,"Population, total",41202,51151,59301,72400,84396,102927,119000,139000,157000,177000,67849,132.6445231
"Korea, Dem. People’s Rep.","Population, total",11424176,14410400,17472140,20293054,22929075,24548836,25779000,26651000,26858000,26562000,11368600,78.89163382
"Korea, Rep.","Population, total",25012374,32240827,38123775,42869283,47008111,49554112,51922000,52975000,52449000,50121000,19681173,61.04425609
Kosovo,"Population, total",947000,1219000,1521000,1862000,1700000,1775680,1870000,1998000,2098000,2150000,651000,53.40442986
Kuwait,"Population, total",269029,744450,1368677,2095344,2045123,2991884,4271000,4747000,5153000,5393000,3526550,473.7121365
Kyrgyz Republic,"Population, total",2172300,2959900,3617400,4391200,4898400,5447900,6489000,7218000,7851000,8412000,3529100,119.2303794
Lao PDR,"Population, total",2120898,2688428,3258144,4258472,5323700,6249165,7276000,8226000,8972000,9480000,4587572,170.6414306
Late-demographic dividend,"Population, total",1097403781,1339919001,1596184271,1849526605,2045841423,2181529363,2307681000,2353811000,2339510000,2282729000,967761999,72.22541051
Latin America & Caribbean,"Population, total",219907801,286027166,360591861,442040696,520964431,590303295,653182000,705183000,741265000,761414000,367154834,128.3636233
Latin America & Caribbean (excluding high income),"Population, total",204214185,267436459,339067716,417409519,493029013,559867514,620352000,671287000,706201000,725981000,352915541,131.9623892
Latin America & the Caribbean (IDA & IBRD countries),"Population, total",209830870,273890550,346721295,426991606,504982243,574171371,637480000,689674000,726217000,747141000,363589450,132.7499069
Latvia,"Population, total",2120979,2359164,2511701,2663151,2367550,2097555,1905000,1796000,1690000,1600000,-454164,-19.25105673
Least developed countries: UN classification,"Population, total",240518433,306916896,390612563,506275612,657215864,836614860,1057439000,1313758000,1590724000,1876798000,750522104,244.5359359
Lebanon,"Population, total",1804941,2297434,2588929,2803044,3842778,4953061,6825000,6195000,6376000,6528000,4527566,197.0705578
Lesotho,"Population, total",837270,1028926,1340255,1703747,2032804,1995581,2142000,2325000,2507000,2665000,1113074,108.1782363
Liberia,"Population, total",1118657,1400730,1853001,2075912,2848456,3891356,5058000,6372000,7825000,9340000,3657270,261.0974278
Libya,"Population, total",1448417,2133526,3219466,4436661,5357891,6197663,6871000,7606000,8151000,8525000,4737474,222.0490399
Liechtenstein,"Population, total",16493,21266,25879,28789,33184,35994,38000,39000,40000,40000,16734,78.68898712
Lithuania,"Population, total",2778550,3139689,3413202,3697838,3499536,3097282,2767000,2663000,2532000,2411000,-372689,-11.87025212
Low & middle income,"Population, total",2271826072,2830664982,3500013974,4277170872,5037268787,5765121055,6534303000,7243854000,7863669000,8387904000,3703638018,130.8398571
Low income,"Population, total",158779911,201001375,257758125,332330635,438799433,577274011,743236000,953641000,1179184000,1415799000,542234625,269.7666247
Lower middle income,"Population, total",928490499,1170050244,1481859807,1875358869,2281159205,2688436551,3105181000,3503008000,3861550000,4163525000,1935130756,165.3886887
Luxembourg,"Population, total",313970,339171,364150,381850,436300,506953,622000,693000,753000,806000,282829,83.38832035
"Macao SAR, China","Population, total",167791,246194,238071,343808,427782,538219,649000,732000,791000,838000,402806,163.6132481
Madagascar,"Population, total",5099373,6576305,8716553,11598633,15766806,21151640,27691000,35622000,44471000,54048000,21114695,321.0723195
Malawi,"Population, total",3659984,4703782,6250440,9404500,11148758,14539612,19130000,24849000,31317000,38143000,14426218,306.6940177
Malaysia,"Population, total",8156347,10804131,13798085,18029824,23194257,28208035,32366000,36095000,38755000,40550000,21561869,199.5705994
Maldives,"Population, total",89863,115691,158272,223158,279398,365734,541000,519000,556000,586000,425309,367.6249665
Mali,"Population, total",5263733,5949045,7090126,8449913,10946445,15049353,20251000,26957000,34939000,43586000,14301955,240.407578
Malta,"Population, total",326550,302650,316645,354170,390087,414508,486000,489000,477000,464000,183350,60.58152982
Marshall Islands,"Population, total",14662,20395,30576,47271,50753,56366,59000,65000,71000,75000,38605,189.2865899
Mauritania,"Population, total",850384,1146780,1540640,2034346,2630219,3494195,4650000,5967000,7432000,9025000,3503220,305.483179
Mauritius,"Population, total",659351,826000,966039,1058775,1186873,1250400,1270000,1282000,1262000,1213000,444000,53.75302663
Mexico,"Population, total",37771859,51493565,67761372,83943132,98899845,114092963,128933000,140876000,149759000,155151000,77439435,150.386626
"Micronesia, Fed. Sts.","Population, total",44514,61417,72930,96301,107402,102911,115000,127000,135000,139000,53583,87.24457398
Middle East & North Africa,"Population, total",105203269,138473064,184628605,254215138,315326801,385917886,464460000,539409000,603182000,661223000,325986936,235.4154134
Middle East & North Africa (excluding high income),"Population, total",97553162,127335091,166616401,226259037,279279634,332777824,396157000,462443000,520366000,574137000,268821909,211.1137683
Middle East & North Africa (IDA & IBRD countries),"Population, total",97553162,127335091,166616401,224280789,276357481,328991663,391344000,456351000,512948000,565370000,264008909,207.3339776
Middle income,"Population, total",2113046161,2629663607,3242255849,3944840237,4598469354,5187847044,5791067000,6290213000,6684485000,6972105000,3161403393,120.2208292
Moldova,"Population, total",2544000,3044000,3396000,3696000,3639592,3562045,3525000,3368000,3128000,2871000,481000,15.80157687
Monaco,"Population, total",22452,23484,26745,29438,32147,35612,39000,42000,44000,46000,15516,66.0705161
Mongolia,"Population, total",955505,1278825,1689622,2184145,2397418,2719896,3278000,3716000,4089000,4449000,1999175,156.3290521
Montenegro,"Population, total",480579,512407,572608,606372,604950,619428,622000,617000,601000,579000,109593,21.38788112
Morocco,"Population, total",12328532,16004731,19990012,24807462,28793679,32343389,36911000,40887000,43973000,46166000,20906269,130.6255569
Mozambique,"Population, total",7184869,9022741,11630194,12987292,17711927,23531574,31255000,41185000,52729000,65313000,22232259,246.4024956
Myanmar,"Population, total",21736942,27269069,34224313,41335199,46719701,50600818,54410000,58478000,61202000,62253000,27140931,99.53009764
Namibia,"Population, total",634142,817469,1057727,1432905,1794571,2118874,2541000,3011000,3497000,3981000,1723531,210.8374752
Nauru,"Population, total",4375,6552,7741,9505,10337,10005,13000,13000,13000,13000,6448,98.41269841
Nepal,"Population, total",10105050,12074626,15016402,18905478,23941110,27013212,29137000,33390000,34889000,35324000,17062374,141.3076811
Netherlands,"Population, total",11486631,13038526,14149800,14951510,15925513,16615394,17330000,17739000,17859000,17723000,4291474,32.91379716
New Caledonia,"Population, total",79000,112000,140050,170899,213230,249750,291000,325000,355000,380000,179000,159.8214286
New Zealand,"Population, total",2371800,2810700,3112900,3329800,3857700,4350700,4971000,5342000,5615000,5810000,2160300,76.85985698
Nicaragua,"Population, total",1773129,2406513,3265519,4173434,5069302,5824065,6625000,7392000,8049000,8531000,4218487,175.294586
Niger,"Population, total",3388764,4510644,5989004,8026591,11331557,16464025,24207000,34846000,48746000,65593000,19696356,436.6639442
Nigeria,"Population, total",45138458,55982144,73423633,95212450,122283850,158503197,206140000,262977000,329067000,401315000,150157856,268.2245539
North America,"Population, total",198624409,226431000,251795337,277373464,312909974,343396098,369599000,394800000,414223000,430739000,143168000,63.22809156
North Macedonia,"Population, total",1488667,1720800,1924197,1996228,2034819,2070741,2083000,2051000,1967000,1857000,362200,21.0483496
Northern Mariana Islands,"Population, total",9979,12994,16633,45752,57453,53971,58000,61000,63000,62000,45006,346.3598584
Norway,"Population, total",3581239,3875763,4085620,4241473,4490967,4889252,5422000,5854000,6208000,6525000,1546237,39.89503486
Not classified,"Population, total",..,..,..,..,..,..,..,..,..,..,#VALUE!,#VALUE!
OECD members,"Population, total",791309222,895585273,989638618,1071033942,1157244082,1242309585,1315534000,1360554000,1389710000,1404509000,419948727,46.89098176
Oman,"Population, total",551740,723851,1154377,1812161,2267973,3041434,5107000,5936000,6437000,6915000,4383149,605.5319396
Other small states,"Population, total",9151857,11029142,13598543,17430779,20917092,26050942,31882000,36905000,41727000,46242000,20852858,189.0705369
Pacific island small states,"Population, total",865072,1150750,1420310,1694332,1962452,2214519,2530000,2925000,3342000,3757000,1379250,119.8566153
Pakistan,"Population, total",44988690,58142060,78054343,107647921,142343578,179424641,220892000,262959000,302129000,338013000,162749940,279.9177394
Palau,"Population, total",9771,11811,12179,15058,19105,17955,18000,18000,18000,18000,6189,52.4003048
Panama,"Population, total",1132997,1519285,1978487,2470947,3030328,3642687,4315000,4928000,5442000,5853000,2795715,184.0151782
Papua New Guinea,"Population, total",2255859,2783121,3571205,4615839,5847586,7310507,8947000,10709000,12493000,14204000,6163879,221.4736262
Paraguay,"Population, total",1903982,2474763,3181625,4223415,5323201,6248020,7133000,7950000,8614000,9102000,4658237,188.2296204
Peru,"Population, total",10155015,13459794,17547610,22071433,26459944,29027674,32972000,36031000,38552000,40374000,19512206,144.966602
Philippines,"Population, total",26269734,35803594,47357743,61895160,77991755,93966780,109581000,123698000,135619000,144488000,73777406,206.0614529
Poland,"Population, total",29637450,32664300,35574150,38110782,38258629,38042794,37806000,36474000,34368000,32234000,5141700,15.74103838
Portugal,"Population, total",8857716,8680431,9766312,9983218,10289898,10573100,10195000,9832000,9522000,9119000,1514569,17.44808524
Post-demographic dividend,"Population, total",754514355,840763997,909865629,964233474,1020504252,1074869481,1116268000,1141220000,1152587000,1155552000,275504003,32.76829217
Pre-demographic dividend,"Population, total",187617091,239204902,317462492,415057375,550660001,731868772,970795000,1255612000,1582586000,1935786000,731590098,305.8424355
Puerto Rico,"Population, total",2358000,2718000,3206000,3537000,3810605,3721525,3184000,3116000,2997000,2819000,466000,17.14495953
Qatar,"Population, total",47384,109514,223632,476278,592468,1856327,2881000,3327000,3629000,3851000,2771486,2530.713881
Romania,"Population, total",18406905,20250398,22242653,23201835,22442971,20246871,19247000,18244000,17121000,16011000,-1003398,-4.954954466
Russian Federation,"Population, total",119897000,130404000,139010000,148292000,146596557,142849449,144222000,140912000,135669000,132649000,13818000,10.59630073
Rwanda,"Population, total",2935582,3757358,5153312,7288882,7933681,10039338,12952000,16234000,19634000,23048000,9194642,244.7102991
Samoa,"Population, total",108629,143149,155525,162803,174454,185949,198000,220000,244000,267000,54851,38.31741752
San Marino,"Population, total",15432,19221,21459,24125,27462,31229,34000,34000,34000,34000,14779,76.88986005
Sao Tome and Principe,"Population, total",64302,74564,95794,119209,142262,180371,219000,268000,328000,394000,144436,193.7074191
Saudi Arabia,"Population, total",4086539,5836389,9691476,16233785,20663843,27421461,34814000,39322000,42473000,44562000,28977611,496.4989654
Senegal,"Population, total",3206749,4257505,5583165,7526307,9797734,12678148,16744000,21551000,27088000,33187000,12486495,293.2819809
Serbia,"Population, total",..,..,..,7586000,7516346,7291436,6929000,6625000,6229000,5842000,#VALUE!,#VALUE!
Seychelles,"Population, total",41700,53600,63261,69507,81131,89770,98000,99000,100000,98000,44400,82.8358209
Sierra Leone,"Population, total",2317636,2744891,3388495,4319762,4584571,6415634,7977000,9649000,11339000,12945000,5232109,190.6126327
Singapore,"Population, total",1646400,2074507,2413945,3047132,4027887,5076732,5772000,6157000,6333000,6312000,3697493,178.2347806
Sint Maarten (Dutch part),"Population, total",..,..,..,..,30519,34056,..,..,..,..,#VALUE!,#VALUE!
Slovak Republic,"Population, total",4068095,4538223,4979815,5299187,5388720,5391428,5448000,5377000,5166000,4944000,909777,20.04698755
Slovenia,"Population, total",1584720,1724891,1901315,1998161,1988925,2048583,2067000,2041000,1980000,1914000,342109,19.83365905
Small states,"Population, total",14211639,17073346,20501059,25134362,29393029,35238667,41855000,47581000,52923000,57764000,24781654,145.1481977
Solomon Islands,"Population, total",117849,160250,230546,311866,412660,527861,687000,865000,1068000,1290000,526750,328.7051482
Somalia,"Population, total",2755972,3444568,6281134,7225092,8872254,12043883,15893000,21191000,27591000,34922000,12448432,361.3931268
South Africa,"Population, total",17099840,22069776,28556769,36800509,44967708,51216964,59309000,65956000,71375000,75518000,37239224,168.734037
South Asia,"Population, total",572839523,713711349,900620572,1133495196,1390946064,1638792934,1856800000,2050675000,2198650000,2292825000,1143088651,160.1611986
South Asia (IDA & IBRD),"Population, total",572839523,713711349,900620572,1133495196,1390946064,1638792934,1856800000,2050675000,2198650000,2292825000,1143088651,160.1611986
South Sudan,"Population, total",2842724,3494004,4502604,5492623,6199394,9508364,11194000,13839000,16856000,19963000,7699996,220.3774237
Spain,"Population, total",30455000,33814531,37491165,38867322,40567864,46576897,46711000,46274000,45843000,44807000,12896469,38.13883741
Sri Lanka,"Population, total",9874476,12485740,15035834,17325773,18777601,20261737,21837000,22234000,22170000,21570000,9351260,74.89552081
St. Kitts and Nevis,"Population, total",51195,44883,43205,40259,44074,49016,53000,56000,57000,56000,8117,18.08479825
St. Lucia,"Population, total",89697,104015,117822,138020,156729,174085,184000,189000,188000,182000,79985,76.89756285
St. Martin (French part),"Population, total",3893,5712,8771,31520,28935,37582,..,..,..,..,#VALUE!,#VALUE!
St. Vincent and the Grenadines,"Population, total",80977,90509,100566,107484,107784,108255,111000,113000,112000,109000,20491,22.63973748
Sub-Saharan Africa,"Population, total",227233223,290526189,383188232,509451851,665327581,869025106,1136052000,1452724000,1811789000,2196138000,845525811,291.032562
Sub-Saharan Africa (excluding high income),"Population, total",227191523,290472589,383124971,509382344,665246450,868935336,1135954000,1452625000,1811689000,2196040000,845481411,291.0709799
Sub-Saharan Africa (IDA & IBRD countries),"Population, total",227233223,290526189,383188232,509451851,665327581,869025106,1136052000,1452724000,1811789000,2196138000,845525811,291.032562
Sudan,"Population, total",7544491,10281700,14507468,20147590,27275015,34545013,43849000,55254000,67919000,81193000,33567300,326.4761664
Suriname,"Population, total",287871,367931,359519,405168,470949,529131,587000,632000,664000,680000,219069,59.54078346
